Time_Sec,FPS,Detected_Person,Detected_Objects
2.22,4.4,[],[]
2.48,4.0,[],[]
2.72,4.2,[],[]
2.95,4.4,[],[]
3.17,4.5,[],[]
3.41,4.1,[],[]
3.65,4.1,[],[]
3.9,4.1,[],[]
4.13,4.2,[],[]
4.39,3.9,[],[]
4.64,4.0,[],[]
4.89,4.1,[],[]
5.12,4.2,[],[]
5.36,4.3,[],[]
5.59,4.4,[],[]
5.83,4.1,[],[]
6.08,4.0,[],[]
9.99,0.3,['pulasthi'],[]
10.25,3.8,[],[]
10.48,4.3,[],[]
10.74,4.0,[],[]
10.98,4.2,[],[]
11.21,4.2,[],[]
11.44,4.3,[],[]
11.68,4.2,[],[]
11.92,4.2,[],[]
12.16,4.2,[],[]
12.39,4.5,[],[]
12.61,4.5,[],[]
12.85,4.2,[],[]
13.09,4.2,[],[]
13.31,4.4,[],[]
13.57,4.0,[],[]
13.79,4.4,[],[]
14.28,2.1,['pulasthi'],[]
14.76,2.1,['pulasthi'],[]
15.01,4.0,[],[]
15.25,4.2,[],[]
15.49,4.2,[],[]
15.71,4.5,[],[]
15.96,4.0,[],[]
16.42,2.2,['pulasthi'],[]
16.88,2.2,['Person'],[]
17.11,4.2,[],['chair']
17.35,4.3,[],[]
17.59,4.1,[],[]
17.83,4.2,[],['chair']
18.08,4.0,[],[]
18.31,4.4,[],['chair']
18.55,4.2,[],['chair']
18.78,4.3,[],['chair']
19.02,4.2,[],['chair']
19.26,4.1,[],['chair']
19.49,4.4,[],['chair']
19.74,4.0,[],['chair']
19.98,4.2,[],['chair']
20.23,4.1,[],['chair']
20.47,4.2,[],['chair']
20.71,4.2,[],['chair']
20.94,4.2,[],['chair']
21.19,4.1,[],['chair']
21.42,4.3,[],['chair']
21.67,4.1,[],['chair']
21.9,4.3,[],['chair']
22.15,4.1,[],['chair']
22.38,4.2,[],['chair']
22.62,4.2,[],['chair']
22.85,4.3,[],['chair']
23.09,4.2,[],[]
23.33,4.2,[],['chair']
23.58,4.0,[],[]
23.82,4.2,[],['chair']
24.05,4.3,[],[]
24.31,3.9,[],[]
24.55,4.2,[],['chair']
24.8,4.0,[],[]
25.01,4.7,[],['chair']
25.26,4.1,[],['chair']
25.49,4.2,[],[]
25.74,4.0,[],[]
25.97,4.3,[],['chair']
26.21,4.2,[],['chair']
26.46,4.0,[],[]
26.69,4.3,[],['chair']
26.95,3.9,[],['chair']
27.19,4.2,[],['chair']
27.44,4.0,[],[]
27.68,4.1,[],[]
27.93,4.1,[],[]
28.17,4.1,[],[]
28.4,4.3,[],[]
28.64,4.2,[],[]
28.88,4.1,[],[]
29.12,4.2,[],[]
29.37,4.1,[],[]
29.6,4.2,[],[]
29.86,3.9,[],[]
30.08,4.5,[],[]
30.34,3.9,[],[]
30.58,4.2,[],[]
30.82,4.2,[],[]
31.04,4.5,[],[]
31.3,3.9,[],[]
31.54,4.2,[],[]
31.78,4.2,[],[]
32.03,4.0,[],[]
32.25,4.4,[],[]
32.47,4.7,[],[]
32.72,4.0,[],[]
32.95,4.4,[],[]
33.19,4.2,[],[]
33.43,4.1,[],[]
33.68,3.9,[],[]
33.91,4.4,[],[]
34.15,4.2,[],[]
34.37,4.5,[],[]
34.63,3.9,[],[]
34.87,4.1,[],[]
35.11,4.2,[],[]
35.35,4.2,[],[]
35.59,4.1,[],[]
35.83,4.3,[],[]
36.07,4.1,[],[]
36.29,4.5,[],[]
36.54,4.0,[],[]
36.77,4.4,[],[]
37.01,4.2,[],[]
37.25,4.2,[],[]
