Time_Sec,FPS,Detected_Person,Detected_Objects
2.08,12.8,[],['chair']
2.17,11.2,[],[]
2.25,11.4,[],[]
2.35,10.6,[],[]
3.08,1.4,['Person'],[]
3.18,10.7,[],['chair']
3.26,12.1,[],[]
3.36,10.4,[],['chair']
3.45,10.7,[],['chair']
3.53,12.2,[],['chair']
3.63,10.7,[],['chair']
3.72,10.2,[],[]
3.81,12.0,[],['chair']
3.9,10.5,[],['chair']
4.0,10.9,[],[]
4.08,12.5,[],['chair']
4.19,9.0,[],['chair']
4.28,10.2,['Person'],['chair']
4.36,12.7,[],['chair']
4.47,9.0,[],['chair']
4.57,10.2,[],['chair']
4.67,10.5,[],['chair']
4.77,9.9,[],['chair']
4.84,13.1,[],[]
4.94,10.4,[],[]
5.04,10.6,[],[]
5.13,10.3,[],[]
5.22,11.7,[],[]
5.32,9.5,[],[]
5.42,10.7,[],[]
5.52,9.7,[],[]
5.61,10.6,[],[]
5.71,10.1,[],[]
5.82,9.3,[],[]
5.92,10.5,[],[]
6.01,10.4,[],[]
6.11,10.2,[],[]
6.22,9.1,[],[]
6.32,10.3,[],[]
6.41,10.4,[],[]
6.51,10.5,[],[]
6.6,10.3,[],[]
6.7,10.4,[],[]
6.78,12.5,[],[]
6.88,10.5,[],[]
6.99,8.9,[],[]
7.07,12.5,[],[]
7.18,9.0,[],[]
7.26,12.6,[],[]
7.37,9.0,[],[]
7.47,10.3,[],[]
7.56,10.4,[],[]
7.66,10.4,[],[]
7.75,10.7,[],[]
7.85,10.2,[],[]
7.95,10.5,[],[]
8.05,10.2,[],[]
8.12,12.8,[],[]
8.24,8.9,[],[]
8.32,12.3,[],[]
8.41,10.4,[],[]
8.51,10.7,[],['chair']
8.61,9.3,[],['chair']
8.7,11.0,[],['chair']
8.79,11.5,[],[]
8.88,11.8,[],[]
8.97,10.5,[],[]
9.07,10.0,[],[]
9.16,11.0,[],[]
9.25,11.1,[],[]
9.34,11.4,[],[]
9.43,10.6,[],[]
9.52,11.5,[],[]
9.61,10.9,[],[]
9.7,11.1,[],[]
9.79,11.3,[],['chair']
9.89,10.4,[],[]
9.97,12.0,[],[]
10.06,11.1,[],[]
10.16,10.5,[],[]
10.25,10.5,[],[]
10.35,10.4,[],[]
10.44,10.5,[],[]
10.54,10.3,[],['chair']
10.64,10.4,[],['chair']
10.73,10.5,[],[]
10.81,12.5,[],[]
10.91,10.4,[],[]
11.02,8.9,[],[]
11.1,12.5,[],[]
11.21,8.9,[],[]
11.31,10.4,[],[]
11.4,10.4,[],[]
11.5,10.4,[],[]
11.6,10.4,[],['chair']
11.69,10.4,[],[]
11.79,10.4,[],[]
11.88,10.4,[],[]
12.0,8.9,[],[]
12.09,10.4,[],[]
12.19,10.4,[],[]
12.28,10.4,[],[]
12.37,11.9,['Person'],[]
12.48,9.3,[],[]
12.67,5.2,['Person'],[]
12.76,10.6,['Person'],[]
12.84,12.2,['Person'],[]
12.97,7.9,['Person'],[]
13.07,10.2,['Person'],[]
13.26,5.2,['Person'],[]
13.36,10.4,['Person'],[]
13.44,12.5,['Person'],[]
13.53,10.4,['Person'],[]
13.63,10.4,['Person'],[]
13.8,5.7,['Person'],[]
13.9,10.4,['Person'],[]
14.0,10.5,['Person'],[]
14.09,10.2,['Person'],[]
14.18,11.1,[],[]
14.27,11.1,[],[]
14.37,10.0,[],[]
14.46,11.1,['Person'],[]
14.55,11.3,['Person'],[]
14.64,11.0,[],[]
14.85,4.8,"['Person', 'Person']",[]
14.95,10.6,[],[]
15.03,11.8,['Person'],[]
15.13,9.9,[],[]
15.23,10.4,[],[]
15.32,10.7,[],[]
15.42,10.4,[],[]
15.53,8.9,[],[]
15.63,10.1,[],[]
15.73,10.3,[],[]
15.82,10.9,[],[]
15.9,12.5,[],[]
16.03,7.9,[],[]
16.13,10.2,[],[]
16.22,10.5,[],[]
16.43,4.8,['Person'],[]
16.53,10.3,[],[]
16.62,10.6,['Person'],[]
16.72,10.4,[],[]
16.81,11.0,['Person'],[]
16.99,5.5,['Person'],[]
17.08,10.3,[],[]
17.18,10.5,[],[]
17.28,10.5,[],[]
17.37,10.4,[],[]
17.47,10.4,[],[]
17.56,10.4,[],[]
17.66,10.0,[],[]
17.77,9.2,[],[]
17.87,10.4,[],[]
17.96,10.5,[],[]
18.06,10.4,[],[]
18.16,10.3,[],[]
18.25,10.3,[],[]
18.35,10.6,[],[]
18.44,10.4,[],[]
18.56,9.0,[],[]
18.66,10.0,[],[]
18.75,10.8,[],[]
18.84,10.4,[],[]
19.04,5.2,['Person'],[]
19.13,10.4,['Person'],[]
19.24,9.2,[],[]
19.33,11.5,[],[]
19.42,10.5,[],[]
19.52,10.4,[],[]
19.61,10.7,[],[]
19.71,10.3,[],[]
19.81,9.7,[],[]
19.9,11.4,[],[]
20.0,9.9,[],[]
20.1,10.4,[],[]
20.19,10.8,[],[]
20.29,10.2,[],[]
20.4,9.2,[],[]
20.49,10.4,[],[]
20.57,12.2,[],[]
20.67,10.4,[],[]
20.75,12.7,[],[]
20.84,10.5,[],[]
20.94,10.2,[],[]
21.04,10.4,[],[]
21.14,10.2,[],[]
21.23,10.9,[],[]
21.33,10.1,[],[]
21.44,9.1,[],[]
21.53,10.5,[],[]
21.64,8.9,[],[]
21.74,10.4,[],[]
21.84,10.4,[],[]
21.93,10.4,[],[]
22.03,10.5,[],[]
22.13,10.2,[],[]
22.24,9.0,[],[]
22.33,10.4,[],[]
22.43,10.4,[],[]
22.52,10.5,[],[]
22.62,10.3,[],[]
22.72,10.1,[],[]
22.81,10.7,[],[]
22.93,8.8,[],[]
23.02,10.6,[],[]
23.12,10.4,[],[]
23.21,10.5,[],[]
23.31,10.3,[],[]
23.4,10.4,[],[]
23.5,10.4,[],[]
23.6,10.2,[],[]
23.71,9.1,[],[]
23.8,10.5,[],[]
23.9,10.4,[],[]
24.0,9.9,[],[]
24.09,11.0,[],[]
24.19,10.6,[],[]
24.28,10.2,[],[]
24.38,10.2,[],[]
24.48,10.6,[],[]
24.57,10.2,[],[]
24.67,10.7,[],[]
24.76,10.4,[],[]
24.86,10.2,[],[]
24.96,10.8,[],[]
25.05,10.3,[],[]
25.15,10.4,[],[]
25.24,10.4,[],[]
25.34,10.4,[],[]
25.44,10.4,[],[]
25.53,10.6,[],[]
25.63,10.2,[],[]
25.73,9.6,[],[]
25.82,11.1,[],[]
25.92,10.8,[],[]
26.01,10.5,[],[]
26.11,10.5,[],[]
26.2,10.3,[],[]
26.3,10.3,[],[]
26.4,10.4,[],[]
26.49,10.4,[],[]
26.59,9.9,[],[]
26.7,9.4,[],[]
26.8,10.3,[],[]
26.89,10.4,[],[]
26.99,10.4,[],[]
27.08,10.4,[],[]
27.18,10.4,[],[]
27.28,10.5,[],[]
27.39,8.6,[],[]
27.49,10.4,[],[]
27.58,11.0,[],[]
27.68,9.8,[],[]
27.77,11.1,[],[]
27.87,10.5,[],[]
27.96,10.4,[],[]
28.07,9.9,[],[]
28.16,11.1,[],[]
28.25,10.4,[],[]
28.35,9.8,[],[]
28.43,12.7,[],[]
28.54,9.3,[],[]
28.64,10.3,[],[]
28.73,10.3,[],[]
28.83,10.5,[],[]
28.92,10.5,[],[]
29.02,10.3,[],[]
29.12,10.6,[],[]
29.21,10.3,[],[]
29.31,10.5,['Person'],[]
29.41,9.9,[],[]
29.51,10.4,[],[]
29.6,10.5,[],[]
29.7,10.5,[],[]
29.79,10.9,[],[]
29.89,10.1,[],[]
29.98,11.3,[],[]
30.07,11.1,[],[]
30.16,11.0,[],[]
30.25,11.1,[],[]
30.34,11.1,[],[]
30.43,10.3,[],[]
30.53,10.8,[],[]
30.62,10.6,[],[]
30.71,10.8,[],[]
30.8,12.2,[],[]
30.88,11.8,[],[]
30.97,11.0,[],[]
31.07,9.9,[],[]
31.16,10.9,[],[]
31.26,10.4,[],[]
31.36,10.5,[],[]
31.45,10.4,[],[]
31.64,5.2,['Person'],[]
31.74,10.1,[],[]
31.84,10.8,[],[]
31.93,10.1,[],[]
32.03,10.7,[],[]
32.13,9.6,[],[]
32.24,9.6,[],[]
32.34,10.0,[],[]
32.43,10.4,[],[]
32.53,10.8,[],[]
32.63,9.9,[],[]
32.73,9.4,[],[]
32.83,10.2,[],[]
32.92,10.6,[],[]
33.03,9.8,[],[]
33.12,11.2,[],[]
33.21,10.4,[],[]
33.31,10.3,[],[]
33.41,10.2,[],[]
33.52,9.2,[],[]
33.62,10.0,[],[]
33.69,13.1,[],[]
33.79,10.1,[],[]
33.88,10.8,[],[]
33.98,10.4,[],[]
34.08,10.4,[],[]
34.17,10.4,[],[]
34.27,10.4,[],[]
34.37,10.0,[],[]
34.46,10.8,[],[]
34.57,9.6,[],[]
34.65,11.5,[],[]
34.75,10.0,[],[]
34.84,10.9,[],[]
34.94,10.4,[],[]
35.04,10.5,[],[]
35.13,10.4,[],[]
35.23,10.4,[],[]
35.32,10.4,[],[]
